Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
VoteReportPH,@VoteReportPH,2025-05-16T07:57:24.000Z,FALSE,"It's been 4 days since the day of the 2025 Midterm Elections! Sa mga kababayan nating sumama na nagvolunteer, nag-ulat, at sa lahat ng tumulong para labanan ang dayaan, taos-pusong pasasalamat ang aming handog sa inyo. #VoteReportPH#NLE2025#Halalan2025",0,5,11,205,"['#VoteReportPH', '#NLE2025', '#Halalan2025']",[],"['\\U0001f5f3\\ufe0f', '\\U0001faf6']",https://pbs.twimg.com/profile_images/1380755808338644992/_Y8UnWIh_bigger.jpg,https://x.com/VoteReportPH/status/1923286646633472341,tweet_id:1923286646633472341
The LaSallian,@TheLaSallian,2025-06-23T04:01:48.000Z,FALSE,"NatSit: PDP-Laban filed a petition before the Supreme Court for a manual recount of the #Halalan2025 senatorial votes, citing alleged irregularities, including discrepancies in voter receipts. | via ",1,0,1,512,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1962397865210503168/_LpICsvz_bigger.jpg,https://x.com/TheLaSallian/status/1936998096405430626,tweet_id:1936998096405430626
Jesus Falcis,@jesusfalcis,2025-06-30T06:08:55.000Z,TRUE,"Good news: Uupong Congressman na today si Chel Diokno and De Lima.

Good news pa din: Hindi uupo ang Duterte Youth. #Halalan2025#Akbayan",37,927,7.8K,107K,"['#Halalan2025', '#Akbayan']",[],['\\U0001f44a'],https://pbs.twimg.com/profile_images/822541032084688896/BgXtfmoR_bigger.jpg,https://x.com/jesusfalcis/status/1939566800787947745,tweet_id:1939566800787947745
Paige Javier,@PaigeJavier,2025-05-26T02:43:31.000Z,FALSE,"LOOK: Lawmakers from the Makabayan bloc file House Resolution No. 2291 seeking a probe on the automated election system and other issues during #Halalan2025 

They cited reports from poll watchdogs of alleged technical issues and voter disenfranchisement. ",1,0,0,235,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1946897004023472128/O8i0u-yy_bigger.jpg,https://x.com/PaigeJavier/status/1926831533379252274,tweet_id:1926831533379252274
Tinig ng Plaridel,@tinigngplaridel,2025-07-03T07:14:05.000Z,FALSE,"LOOK: Youth-led election watchdog Kabataan Tayo ang Pag-asa holds a forum at UP Diliman today, July 3, on the implications of the #Halalan2025 results, highlighting how rampant red-tagging has undermined Philippine democracy.",1,1,5,349,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1967931825571106819/Jes8Zkp4_bigger.jpg,https://x.com/tinigngplaridel/status/1940670364641907201,tweet_id:1940670364641907201
Juan Ponce Enrile Outlives,@JPEOutlives,2025-05-17T10:14:48.000Z,FALSE,"Juan Ponce Enrile outlives Manny Pacquiao's retirement from professional boxing. After falling short of a Senate return in #Halalan2025, the 46-year-old boxer-turned-politician is instead eyeing a comeback to the ring. Pacquiao placed 18th among the senatorial aspirants.",1,5,44,2.2K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1490699312589774848/Y-kKhFT1_bigger.jpg,https://x.com/JPEOutlives/status/1923683612010131910,tweet_id:1923683612010131910
Jisooonly,@kimjisooqueen03,2025-07-19T13:35:58.000Z,FALSE,Magbabantay tayo ng botohan! #HALALAN2025 #KIMJISOOFORPRESIDENT ay for SDA pala sorry sorry sorry. ,1,1,6,267,"['#HALALAN2025', '#KIMJISOOFORPRESIDENT']",[],"['\\U0001f923', '\\U0001f923', '\\U0001f923']",https://pbs.twimg.com/profile_images/1938426260776247296/0egzYtZX_bigger.jpg,https://x.com/kimjisooqueen03/status/1946564675346596152,tweet_id:1946564675346596152
Agatha Gregorio,@agathamgregorio,2025-05-17T07:14:12.000Z,FALSE,"[As of 2:47 p.m.] The 12 winning-senators in #Halalan2025 are arriving at the Tent City in Manila Hotel, including top-ranked reelectionist Christopher “Bong” Go and and former senate president Vicente “Tito” Sotto III who ranked eighth in votes. ",1,3,1,3.7K,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1837059654461050881/1SuMYsX5_bigger.jpg,https://x.com/agathamgregorio/status/1923638166285901904,tweet_id:1923638166285901904
WR Numero,@WR_Numero,2025-05-16T10:11:07.000Z,FALSE, LOOK: WR Numero Founder and Chair Dr.   and President & CEO  took the stage for ' #Halalan2025 election marathon coverage!,2,0,11,442,['#Halalan2025'],"['@_robingarcia_', '@CleveArguelles', '@ABSCBNNews']",['\\U0001f4f8'],https://pbs.twimg.com/profile_images/1943273769960652800/Sg7F31bQ_bigger.jpg,https://x.com/WR_Numero/status/1923320297345732700,tweet_id:1923320297345732700
Paige Javier,@PaigeJavier,2025-05-19T08:14:43.000Z,FALSE,"Kabataan Party-list first nominee Atty. Renee Co on the suspension of the proclamation of Duterte Youth: ‘DASURV’

She says they welcome the suspension which is the first step and they will remain guarded until the disqualification of the party-list.  #Halalan2025",1,0,3,536,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1946897004023472128/O8i0u-yy_bigger.jpg,https://x.com/PaigeJavier/status/1924378170993868904,tweet_id:1924378170993868904
