Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Daily Tribune,@tribunephl,2025-04-13T23:03:41.000Z,True,"#Halalan2025: The Commission on Elections (Comelec) said Monday that all 93 Philippine posts abroad have successfully opened for the midterm elections.

Read more at: tribune.net.ph/2025/04/13/all
…#DailyTribune #COMELEC",0,0,0,98,"['#Halalan2025', '#DailyTribune', '#COMELEC']",[],[],https://pbs.twimg.com/profile_images/1894256178848206848/BMx_QdUY_bigger.jpg,https://x.com/tribunephl/status/1911555920989159715,tweet_id:1911555920989159715
Daily Tribune,@tribunephl,2025-05-03T03:42:24.000Z,True,"#Halalan2025: The Philippine National Police (PNP) will raise a full alert status starting Saturday to ensure peaceful and orderly midterm elections on 12 May 2025.#PNP #DailyTribuneRead more at: tribune.net.ph/2025/05/02/pnp
…",0,0,0,120,"['#Halalan2025', '#PNP', '#DailyTribune']",[],[],https://pbs.twimg.com/profile_images/1894256178848206848/BMx_QdUY_bigger.jpg,https://x.com/tribunephl/status/1918511432880058375,tweet_id:1918511432880058375
adi୨ৎ,@_frappeyyy,2025-04-14T01:43:47.000Z,False," DAILY REMINDER  

PLEASE WE NEED Y'ALL COOPERATION IN THIS VOTING WE ONLY HAVE 1 DAY LEFT AND THE GAP STILL SO BIG. LET'S FIGHT UNTIL THE END!!! FOCUS MUNA TAYO SA VOTING HAYAAN MUNA NATIN ANG PUKSAAN.",5,130,204,5.4K,[],[],"['\\U0001f6a8', '\\U0001f6a8']",https://pbs.twimg.com/profile_images/1892070878390910980/LRanSeU3_bigger.jpg,https://x.com/_frappeyyy/status/1911596214505886006,tweet_id:1911596214505886006
ANFREL,@Anfrel,2025-03-27T03:31:00.000Z,False,"""The Philippine National Police (PNP) will ramp up the deployment of its personnel during the local campaign period for the 2025 midterm #elections. The campaign period for local candidates is set to begin on Friday, March 28."" #Philippines #Halalan2025",0,0,1,40,"['#elections', '#Philippines', '#Halalan2025']",[],[],https://pbs.twimg.com/profile_images/1276351821397716996/YV7V3hMo_bigger.jpg,https://x.com/Anfrel/status/1905100212995059957,tweet_id:1905100212995059957
Roentgen,@ronaldgem,2024-09-26T04:25:53.000Z,False,"Traditional opposition are fielding returning lawmakers in the 2025 party-list elections:

• FSen. Leila de Lima  Mamamayang Liberal
• FRep. Gary Alejano  Magdalo
• FRep. Neri Colmenares  Bayan Muna
• Former Kabataan Rep. Sarah Elago  Gabriela#Halalan2025",1,54,229,8.1K,['#Halalan2025'],[],"['\\u27a1\\ufe0f', '\\u27a1\\ufe0f', '\\u27a1\\ufe0f', '\\u27a1\\ufe0f']",https://pbs.twimg.com/profile_images/1928738836429131776/dW7AkuZ3_bigger.jpg,https://x.com/ronaldgem/status/1839159432690937976,tweet_id:1839159432690937976
Daily Tribune,@tribunephl,2025-04-01T05:03:57.000Z,True,"#Halalan2025: A total of 77 Philippine embassies and consulates worldwide will implement internet voting for the upcoming national and local elections in May, according to the Commission on Elections (Comelec).

Read more at: tribune.net.ph/2025/04/01/77-
…#DailyTribune #COMELEC",0,0,0,80,"['#Halalan2025', '#DailyTribune', '#COMELEC']",[],[],https://pbs.twimg.com/profile_images/1894256178848206848/BMx_QdUY_bigger.jpg,https://x.com/tribunephl/status/1906935542346043671,tweet_id:1906935542346043671
ANFREL,@Anfrel,2025-01-07T02:31:00.000Z,False,"""A nationwide gun ban, coinciding with the start of the official campaign period for the May 2025 midterm #elections, will take effect on Sunday, Jan. 12, the Philippine National Police (PNP) announced yesterday."" #Philippines #Halalan2025 #Eleksyon2025",0,0,0,123,"['#elections', '#Philippines', '#Halalan2025', '#Eleksyon2025']",[],[],https://pbs.twimg.com/profile_images/1276351821397716996/YV7V3hMo_bigger.jpg,https://x.com/Anfrel/status/1876456471707496505,tweet_id:1876456471707496505
Maritessy | BB27 | The Season of Mysteries,@CollabS12PBB,2025-04-22T10:53:29.000Z,False,"Ngayong election this coming May 12, 2025

Don't forget to put Kiko Pangilinan (51) and Bam Aquino (5) in your senatorial slate!#Halalan2025",6,122,623,25K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1896982408572162048/eJzgZWT4_bigger.jpg,https://x.com/CollabS12PBB/status/1914633651364749529,tweet_id:1914633651364749529
ANFREL,@Anfrel,2025-01-10T03:01:00.000Z,False,"""The Commission on Elections en banc on January 9 classified 38 towns and cities as red areas ahead of the May 2025 midterm polls."" #Elections #Philippines #Halalan2025 #Eleksyon2025 pcij.org/2025/01/10/202
…",0,0,0,94,"['#Elections', '#Philippines', '#Halalan2025', '#Eleksyon2025']",[],[],https://pbs.twimg.com/profile_images/1276351821397716996/YV7V3hMo_bigger.jpg,https://x.com/Anfrel/status/1877551185768694030,tweet_id:1877551185768694030
KABATAAN PARTYLIST,@KabataanPL,2025-02-16T05:47:27.000Z,True,"LISTAHAN NG IBOBOTO: KABATAAN SA KONGRESO, TAUMBAYAN SA SENADO! Hindi pa ba kompleto ang iyong listahan? O naghahanap pa ng iboboto? DON'T FEAR, COZ WE GOT YOU  COVERED!  Sa darating na May 2025 Elections, never forget na LABINDALAWANG (12) SENADOR at ISANG (1)",5,124,283,8.5K,[],[],"['\\U0001f4c3', '\\u270d\\U0001f3fc', '\\U0001f5f3\\ufe0f', '\\u2728', '\\U0001faf5\\U0001f3fc', '\\U0001f4af']",https://pbs.twimg.com/profile_images/1962176361696804864/iy3yajov_bigger.jpg,https://x.com/KabataanPL/status/1891001426199072871,tweet_id:1891001426199072871
